year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
2008,16437,7,705,7,705,"This perspective serves not only the people of the United States but also the world's poorest peoples, who would suffer terribly if climate change is severe √≠√Ø just as they would if the world economy itself were to be crippled.",40
2008,16438,7,705,7,705,We must not allow either outcome.,6
2008,16439,7,700,7,700,Continuing Our Stewardship over the Environment: The Republican perspective on the environment is in keeping with our longstanding appreciation for nature and gratitude for the bounty the Almighty has bestowed upon the American people.,34
2008,16440,7,700,7,700,"It was Republican President Theodore Roosevelt who said, ""The conservation of natural resources is the fundamental problem.",17
2008,16441,7,700,7,700,"Unless we solve that problem, it will avail us little to solve all others.""",14
2008,16442,7,700,7,700,We agree.,2
2008,16443,7,700,7,700,"Whether through family vacations, hunting or fishing trips, backpacking excursions, or weekend hikes, Americans of all backgrounds share a commitment to protecting the environment and the opportunities it offers.",29
2008,16445,7,711,7,711,"In caring for the land and water, private ownership has been the best guarantee of conscientious stewardship, while the world's worst instances of environmental degradation have occurred under governmental control.",30
2008,16446,7,700,7,700,"By the same token, it is no accident that the most economically advanced countries also have the strongest environmental protections.",20
2008,16447,7,700,7,700,Our national progress toward cleaner air and water has been a major accomplishment of the American people.,17
2008,16448,7,700,7,700,"By balancing environmental goals with economic growth and job creation, our diverse economy has made possible the investment needed to safeguard natural resources, protect endangered species, and create healthier living conditions.",31
2008,16449,7,704,7,704,State and local initiatives to clean up contaminated sites √≠√Ø brownfields √≠√Ø have exceeded efforts directed by Washington.,18
2008,16450,7,704,7,704,"That progress can continue if grounded in sound science, long-term planning, and a multiuse approach to resources.",17
2008,16451,7,700,7,700,"Government at all levels should protect private property rights by cooperating with landowners' efforts and providing incentives to protect fragile environments, endangered species, and maintain the natural beauty of America.",30
2012,17002,7,701,7,701,What most Americans take for granted¬Ñthe safety and availability of our water supply¬Ñis in perilous condition.,16
2012,17003,7,701,7,701,"Engineering surveys report crumbling drinking water systems, aging dams, and overwhelmed wastewater infrastructure.",13
2012,17004,7,701,7,701,"Investment in these areas, as well as with levees and inland waterways, can renew communities, attract businesses, and create jobs.",20
2012,17005,7,701,7,701,"Most importantly, it can assure the health and safety of the American people.",13
2012,17016,7,700,7,700,"It should be followed by reform of the 42-year old National Environmental Policy Act to create regulatory certainty for infrastructure projects, expedite their timetables, and limit litigation against them.",29
2012,17266,7,705,7,705,"Further, we oppose any and all cap and trade legislation.",10
2012,17274,7,700,7,700,"We support this development in accordance with applicable environmental, health and safety laws, and regulations.",15
2012,17320,7,700,7,700,We must limit injunctions by activist judges regarding environmental management.,10
2012,17329,7,700,7,700,Protecting Our Environment,3
2012,17330,7,700,7,700,The environment is getting cleaner and healthier.,7
2012,17331,7,700,7,700,"The nation's air and waterways, as a whole, are much healthier than they were just a few decades ago.",19
2012,17332,7,700,7,700,"Efforts to reduce pollution, encourage recycling, educate the public, and avoid ecological degradation have been a success.",17
2012,17333,7,700,7,700,"To ensure their continued support by the American people, however, we need a dramatic change in the attitude of officials in Washington, a shift from a job-killing punitive mentality to a spirit of cooperation with producers, landowners, and the public.",40
2012,17334,7,700,7,700,An important factor is full transparency in development of the data and modeling that drive regulations.,16
2012,17335,7,700,7,700,Legislation to restore the authority of States in environmental protection is essential. ,12
2012,17337,7,711,7,711,Our Republican Party's Commitment to Conservation,6
2012,17338,7,711,7,711,Conservation is a conservative value.,5
2012,17339,7,711,7,711,"As the pioneer of conservation over a century ago, the Republican Party believes in the moral obligation of the people to be good stewards of the God-given natural beauty and resources of our country and bases environmental policy on several common-sense principles.",42
2012,17341,7,711,7,711,"A policy protecting these objectives, however, must balance economic development and private property rights in the short run with conservation goals over the long run.",25
2012,17347,7,700,7,700,Private Stewardship of the Environment,5
2012,17348,7,711,7,711,"Experience has shown that, in caring for the land and water, private ownership has been our best guarantee of conscientious stewardship, while the worst instances of environmental degradation have occurred under government control.",33
2012,17349,7,700,7,700,"By the same token, the most economically advanced countries¬Ñthose that respect and protect private property rights¬Ñalso have the strongest environmental protections, because their economic progress makes possible the conservation of natural resources. ",32
2012,17357,7,700,7,700,"The Republican Party supports appointing public officials to federal agencies who will properly and correctly apply environmental laws and regulations, always in support of economic development, job creation, and American prosperity and leadership.",33
2012,17358,7,700,7,700,Federal agencies charged with enforcing environmental laws must stop regulating beyond their authority. ,13
2012,17359,7,700,7,700,There is no place in regulatory agencies for activist regulators.,10
2012,17360,7,700,7,700,Reining in the EPA,4
2012,17361,7,700,7,700,"Since 2009, the EPA has moved forward with expansive regulations that will impose tens of billions of dollars in new costs on American businesses and consumers.",26
2012,17362,7,700,7,700,"Many of these new rules are creating regulatory uncertainty, preventing new projects from going forward, discouraging new investment, and stifling job creation.",22
2012,17363,7,700,7,700,"We demand an end to the EPA's participation in ""sue and settle"" lawsuits, sweetheart litigation brought by environmental groups to expand the Agency's regulatory activities against the wishes of Congress and the public.",33
2012,17364,7,700,7,700,"We will require full transparency in litigation under the nation's environmental laws, including advance notice to all State and local governments, tribes, businesses, landowners, and the public who could be adversely affected.",32
2012,17365,7,700,7,700,"We likewise support pending legislation to ensure cumulative analysis of EPA regulations, and to require full transparency in all EPA decisions, so that the public will know in advance their full impact on jobs and the economy.",37
2012,17366,7,700,7,700,We oppose the EPA's unwarranted revocation of existing permits.,9
2012,17367,7,705,7,705,We also call on Congress to take quick action to prohibit the EPA from moving forward with new greenhouse gas regulations that will harm the nation's economy and threaten millions of jobs over the next quarter century.,37
2012,17368,7,700,7,700,"The most powerful environmental policy is liberty, the central organizing principle of the American Republic and its people.",18
2012,17369,7,798,7,798,"Liberty alone fosters scientific inquiry, technological innovation, entrepreneurship, and information exchange.",11
2012,17370,7,700,7,700,Liberty must remain the core energy behind America's environmental improvement.,10
2012,17898,7,705,7,705,"Finally, the strategy subordinates our national security interests to environmental, energy, and international health issues, and elevates ""climate change"" to the level of a ""severe threat"" equivalent to foreign aggression.",30
2012,17899,7,705,7,705,"The word ""climate,"" in fact, appears in the current President's strategy more often than Al Qaeda, nuclear proliferation, radical Islam, or weapons of mass destruction.",25
2016,18699,7,701,7,701,"The EPA's Waters of the United States (WOTUS) rule, issued jointly with the Army Corps of Engineers, is a travesty.",20
2016,18700,7,701,7,701,"It extends the government's jurisdiction over navigable waters into the micro-management of puddles and ditches on farms, ranches, and other privately-held property.",22
2016,18701,7,701,7,701,"Ditches, dry creek beds, stock ponds, prairie potholes, and other non-navigable wet areas are already regulated by the states.",19
2016,18702,7,701,7,701,"WOTUS is now subject to judicial review and must be invalidated, but that will not be sufficient.",17
2016,18703,7,701,7,701,Unelected bureaucrats must be stopped from furthering the Democratic Party's political agenda through regulatory demands forced upon citizens and businesses beyond that which is required by law.,27
2016,18704,7,700,7,700,"We must never allow federal agencies to seize control of state waters, watersheds, or groundwater.",15
2016,18705,7,700,7,700,"State waters, watersheds, and groundwater must be the purview of the sovereign states.",13
2016,18706,7,711,7,711,Farmers and ranchers are among this country's leading conservationists.,9
2016,18707,7,711,7,711,"Modern farm practices and technologies, supported by programs from the Department of Agriculture, have led to reduced erosion, improved water and air quality, increased wildlife habitat, all the while maintaining improved agricultural yields.",33
2016,18708,7,711,7,711,"This stewardship of the land benefits everyone, and we remain committed to conservation policies based on the preservation, not the restriction, of working lands.",24
2016,18767,7,705,7,705,Climate change is far from this nation's most pressing national security issue.,12
2016,18777,7,705,7,705,We oppose any carbon tax.,5
2016,18778,7,705,7,705,"It would increase energy prices across the board, hitting hardest at the families who are already struggling to pay their bills in the Democrats' no-growth economy.",26
2016,18779,7,705,7,705,We urge the private sector to focus its resources on the development of carbon capture and sequestration technology still in its early stages here and overseas.,26
2016,18787,7,700,7,700,Environmental Progress.,2
2016,18788,7,711,7,711,Conservation is inherent in conservatism.,5
2016,18789,7,700,7,700,"As the pioneer of environmentalism a century ago, the Republican Party reaffirms the moral obligation to be good stewards of the God-given natural beauty and resources of our country.",29
2016,18791,7,711,7,711,"We assert that private ownership has been the best guarantee of conscientious stewardship, while some of the worst instances of degradation have occurred under government control.",26
2016,18793,7,700,7,700,The environment is too important to be left to radical environmentalists.,11
2016,18794,7,700,7,700,They are using yesterday's tools to control a future they do not comprehend.,13
2016,18795,7,700,7,700,"The environmental establishment has become a self-serving elite, stuck in the mindset of the 1970s, subordinating the public's consensus to the goals of the Democratic Party.",26
2016,18796,7,700,7,700,"Their approach is based on shoddy science, scare tactics, and centralized command-and-control regulation.",13
2016,18797,7,700,7,700,"Over the last eight years, the Administration has triggered an avalanche of regulation that wreaks havoc across our economy and yields minimal environmental benefits.",24
2016,18798,7,700,7,700,"The central fact of any sensible environmental policy is that, year by year, the environment is improving.",17
2016,18799,7,700,7,700,Our air and waterways are much healthier than they were a few decades ago.,14
2016,18800,7,700,7,700,"As a nation, we have drastically reduced pollution, mainstreamed recycling, educated the public, and avoided ecological degradation.",17
2016,18801,7,705,7,705,"Even if no additional controls are added, air pollution will continue to decline for the next several decades due to technological turnover of aging equipment.",25
2016,18802,7,700,7,700,"These successes become a challenge for Democratic Party environmental extremists, who must reach farther and demand more to sustain the illusion of an environmental crisis.",25
2016,18803,7,700,7,700,"That is why they routinely ignore costs, exaggerate benefits, and advocate the breaching of constitutional boundaries by federal agencies to impose environmental regulation.",23
2016,18806,7,700,7,700,"Our modern approach to environmentalism is directed to that end, and it starts with dramatic change in official Washington.",19
2016,18807,7,700,7,700,"We propose to shift responsibility for environmental regulation from the federal bureaucracy to the states and to transform the EPA into an independent bipartisan commission, similar to the Nuclear Regulatory Commission, with structural safeguards against politicized science.",37
2016,18808,7,700,7,700,"We will strictly limit congressional delegation of rule-making authority, and require that citizens be compensated for regulatory takings.",18
2016,18813,7,701,7,701,"We will enforce the original intent of the Clean Water Act, not it's distortion by EPA regulations.",17
2016,18814,7,705,7,705,"We will likewise forbid the EPA to regulate carbon dioxide, something never envisioned when Congress passed the Clean Air Act.",20
2016,18815,7,705,7,705,"We will restore to Congress the authority to set the National Ambient Air Quality Standards and modernize the permitting process under the National Environmental Policy Act so it can no longer invite frivolous lawsuits, thwart sorely needed projects, kill jobs, and strangle growth.",43
2016,18825,7,709,7,709,There is certainly a need to protect certain species threatened worldwide with extinction.,13
2016,18826,7,709,7,709,"However, the Endangered Species Act (ESA) should not include species such as gray wolves and other species if these species exist elsewhere in healthy numbers in another state or country.",30
2016,18827,7,709,7,709,To upset the economic viability of an area with an unneeded designation costs jobs and hurts local communities.,18
2016,18828,7,709,7,709,"We must ensure that this protection is done effectively, reasonably, and without unnecessarily impeding the development of lands and natural resources.",21
2016,18829,7,709,7,709,The ESA should ensure that the listing of endangered species and the designation of critical habitats are based upon sound science and balance the protection of endangered species with the costs of compliance and the rights of property owners.,39
2016,18830,7,709,7,709,"Instead, over the last few decades, the ESA has stunted economic development, halted the construction of projects, burdened landowners, and has been used to pursue policy goals inconsistent with the ESA - all with little to no success in the actual recovery of species.",44
2016,18831,7,709,7,709,"For example, we oppose the listing of the lesser prairie chicken and the potential listing of the sage grouse.",19
2016,18832,7,709,7,709,"Neither species has been shown to be in actual danger and the listings threaten to devastate farmers, ranchers, and oil and gas production.",23
2016,18833,7,709,7,709,"While species threatened with extinction must be protected under the ESA, any such protection must be done in a reasonable and transparent manner with stakeholder input and in consideration of the impact on the development of lands and natural resources.",40
2016,18834,7,705,7,705,"Information concerning a changing climate, especially projections into the long-range future, must be based on dispassionate analysis of hard data.",20
2016,18835,7,705,7,705,"We will enforce that standard throughout the executive branch, among civil servants and presidential appointees alike.",16
2016,18836,7,705,7,705,"The United Nations' Intergovernmental Panel on Climate Change is a political mechanism, not an unbiased scientific institution.",17
2016,18837,7,705,7,705,Its unreliability is reflected in its intolerance toward scientists and others who dissent from its orthodoxy.,16
2016,18838,7,705,7,705,We will evaluate its recommendations accordingly.,6
2016,18839,7,705,7,705,"We reject the agendas of both the Kyoto Protocol and the Paris Agreement, which represent only the personal commitments of their signatories;",22
2016,18840,7,705,7,705,no such agreement can be binding upon the United States until it is submitted to and ratified by the Senate.,20
2016,18841,7,705,7,705,We demand an immediate halt to U.S. funding for the U.N.'s Framework Convention on Climate Change (UNFCCC) in accordance with the 1994 Foreign Relations Authorization Act.,26
2016,18845,7,700,7,700,"We firmly believe environmental problems are best solved by giving incentives for human ingenuity and the development of new technologies, not through top-down, command-and-control regulations that stifle economic growth and cost thousands of jobs.",34
2016,19022,7,705,7,705,The Environmental Protection Agency has rewritten laws to advance the Democrats' climate change agenda.,14
